query,intent,department,priority,sentiment
Wi-Fi in the hostel has not been working for 2 days.,Hostel,Hostel Department,Medium,Negative
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
A faculty member is giving biased marks to certain students.,Complaint,Student Affairs,Medium,Negative
What are the hostel rules for late-night entry?,Hostel,Hostel Department,Low,Neutral
I could not find my roll number on the examination portal.,Examination,Examination Department,High,Negative
My email ID was not created even after 5 weeks of registration.,General,Help Desk,High,Negative
How do I apply for a room change?,Hostel,Hostel Department,Medium,Neutral
How do I update my contact details on the portal?,General,Help Desk,Medium,Neutral
My scholarship amount was deducted from my fee but still shows balance.,Finance,Finance Department,Medium,Negative
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Low,Neutral
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Low,Neutral
The online payment system is very convenient.,Finance,Finance Department,Medium,Positive
Is there a training program before placements?,Placement,Placement Cell,Medium,Neutral
My complaint submitted 7 days ago has not been acknowledged.,Complaint,Student Affairs,Medium,Negative
I appreciate the quick action taken on my grievance.,Complaint,Student Affairs,Medium,Positive
What are the transport routes available for students?,General,Help Desk,Medium,Neutral
I reported a maintenance issue 24 weeks ago but it is still unresolved.,Hostel,Hostel Department,High,Negative
The finance department is not responding to my refund request.,Finance,Finance Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,Medium,Negative
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,Medium,Negative
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Medium,Neutral
What is the exam form fill-up last date?,Examination,Examination Department,Low,Neutral
I received my admission confirmation letter on time.,Admission,Admission Department,Low,Positive
I got my corrected mark sheet within 7 days.,Examination,Examination Department,Low,Positive
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,High,Negative
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,Medium,Negative
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
The placement portal login is not working for me.,Placement,Placement Cell,Medium,Negative
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,Medium,Negative
I received my offer letter within 28 days of the interview.,Placement,Placement Cell,Low,Positive
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,High,Negative
My complaint was taken seriously and resolved within 3 days.,Complaint,Student Affairs,Low,Positive
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Medium,Positive
I have not received my offer letter even after 30 months of selection.,Placement,Placement Cell,High,Negative
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Low,Neutral
My merit list position was not updated even after re-verification.,Admission,Admission Department,Medium,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
When will the end semester exam schedule be released?,Examination,Examination Department,Medium,Neutral
Is there any concession for single-parent students?,Finance,Finance Department,Low,Neutral
How do I check my admission status online?,Admission,Admission Department,Low,Neutral
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,Medium,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,Medium,Negative
What is the last date for fee payment this semester?,Finance,Finance Department,Low,Neutral
The seat allotment letter has not been issued after 21 days of payment.,Admission,Admission Department,Medium,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Low,Positive
How do I access the university Wi-Fi?,General,Help Desk,Medium,Neutral
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Medium,Neutral
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,Medium,Negative
Can I change my branch after the first year?,Admission,Admission Department,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Low,Neutral
The finance department is not responding to my refund request.,Finance,Finance Department,High,Negative
When will the second merit list be published?,Admission,Admission Department,Medium,Neutral
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
My grade sheet shows incorrect marks for the third semester.,Examination,Examination Department,Medium,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
I cannot find any information about the upcoming event.,General,Help Desk,Medium,Negative
When does hostel allotment happen for new students?,Hostel,Hostel Department,Medium,Neutral
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Low,Neutral
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Low,Positive
My admit card has not been generated even though exams start tomorrow.,Examination,Examination Department,High,Negative
